	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
14	0.1	0.1	ACTG1	6.0	0.0	6.0	0.9690000000000001	0.174	0.0	0.0	0.042	0.2	0.917	0.276	0.9690000000000001	0.9690000000000001	0.9690000000000001	0.0	0.0	0.0	0.042	0.042	0.042	0.917	0.917	0.917
15	0.1	0.1	ACTN1	7.0	0.0	7.0	0.9740000000000001	0.158	0.0	0.0	0.0	0.0	0.97	0.171	0.9740000000000001	0.9740000000000001	0.9740000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.97	0.97
20	0.1	0.1	ACVR2B	6.0	1.0	5.0	0.9740000000000001	0.16	0.0	0.0	0.0	0.0	0.958	0.2	0.9740000000000001	0.9740000000000001	0.9740000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.958	0.958	0.958
25	0.1	0.1	ADRB2	8.0	1.0	7.0	0.973	0.162	0.0	0.0	0.047	0.21100000000000002	0.93	0.255	0.973	0.973	0.973	0.0	0.0	0.0	0.047	0.047	0.047	0.93	0.93	0.93
36	0.1	0.1	AP1B1	10.0	0.0	10.0	0.98	0.141	0.0	0.0	0.033	0.18	0.95	0.218	0.98	0.98	0.98	0.0	0.0	0.0	0.033	0.033	0.033	0.95	0.95	0.95
42	0.1	0.1	AP2M1	7.0	4.0	3.0	1.7730000000000001	1.379	0.0	0.0	0.0	0.0	1.444	1.165	1.7730000000000001	1.7730000000000001	1.2278393351800554	0.0	0.0	0.0	0.0	0.0	0.0	0.81443880428652	1.444	1.444
47	0.1	0.1	APC	6.0	0.0	6.0	0.9640000000000001	0.18600000000000003	0.0	0.0	0.065	0.24600000000000002	0.903	0.29600000000000004	0.9640000000000001	0.9640000000000001	0.9640000000000001	0.0	0.0	0.0	0.065	0.065	0.065	0.903	0.903	0.903
49	0.1	0.1	ARF6	9.0	3.0	6.0	1.167	0.637	0.0	0.0	0.0	0.0	1.161	0.627	1.167	1.167	1.005167958656331	0.0	0.0	0.0	0.0	0.0	0.0	0.9948586118251928	1.161	1.161
59	0.1	0.1	ATM	8.0	2.0	6.0	1.182	0.45799999999999996	0.0	0.0	0.079	0.27	0.9740000000000001	0.428	1.182	1.182	1.182	0.0	0.0	0.0	0.06683587140439932	0.079	0.079	0.8240270727580372	0.9740000000000001	0.9740000000000001
68	0.1	0.1	ATP6V0A4	8.0	0.0	8.0	0.976	0.154	0.0	0.0	0.05	0.218	0.925	0.263	0.976	0.976	0.976	0.0	0.0	0.0	0.05	0.05	0.05	0.925	0.925	0.925
